ID,cosecha,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Columna1,Columna2,Columna3
238,2010,6.6,0.5,NA,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,C,,,
239,2010,8.6,0.38,NA,3,0.081,30,119,0.997,3.2,0.56,9.4,D,,,
240,2010,7.6,0.51,NA,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,C,,,
241,2010,7.7,0.62,NA,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,D,,,
242,2010,10.2,0.42,NA,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,D,,,
243,2010,7.5,0.63,NA,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,D,,,
244,2010,7.8,0.59,NA,2.3,0.076,17,54,0.9975,3.43,0.59,10,D,,,
245,2010,7.3,0.39,NA,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,C,,,
246,2010,8.8,0.4,NA,2.2,0.079,19,52,0.998,3.44,0.64,9.2,D,,,
247,2010,7.7,0.69,NA,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,D,,,
248,2010,7.5,0.52,NA,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,B,,,
249,2010,7,0.735,NA,2,0.081,13,54,0.9966,3.39,0.57,9.8,D,,,
250,2010,7.2,0.725,NA,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,D,,,
251,2010,7.2,0.725,NA,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,D,,,
252,2010,7.5,0.52,NA,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,D,,,
253,2010,6.6,0.705,NA,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,D,,,
254,2010,9.3,0.32,NA,2,0.074,27,65,0.9969,3.28,0.79,10.7,D,,,
255,2010,8,0.705,NA,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,C,,,
256,2010,7.7,0.63,NA,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,C,,,
257,2010,7.7,0.67,NA,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,D,,,
258,2010,7.7,0.69,NA,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,D,,,
259,2010,8.3,0.675,NA,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,E,,,
260,2010,9.7,0.32,NA,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,D,,,
261,2010,8.8,0.41,NA,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,D,,,
262,2010,8.8,0.41,NA,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,D,,,
263,2010,6.8,0.785,NA,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,C,,,
264,2010,6.7,0.75,NA,2,0.086,12,80,0.9958,3.38,0.52,10.1,D,,,
265,2010,8.3,0.625,NA,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,E,,,
266,2010,6.2,0.45,NA,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,D,,,
267,2010,7.8,0.43,NA,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,D,,,
268,2010,7.4,0.5,NA,2,0.086,21,73,0.997,3.36,0.57,9.1,D,,,
269,2010,7.3,0.67,NA,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,D,,,
270,2010,6.3,0.3,NA,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,C,,,
271,2010,6.9,0.55,NA,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,D,,,
272,2010,8.6,0.49,NA,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,C,,,
273,2010,7.7,0.49,NA,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,D,,,
274,2010,9.3,0.39,NA,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,D,,,
275,2010,7,0.62,NA,1.8,0.076,8,24,0.9978,3.48,0.53,9,D,,,
276,2010,7.9,0.52,NA,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,D,,,
277,2010,8.6,0.49,NA,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,C,,,
278,2010,8.6,0.49,NA,2,0.11,19,133,0.9972,2.93,1.98,9.8,D,,,
279,2010,7.7,0.49,NA,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,D,,,
280,2010,5,1.02,NA,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,E,,,
281,2010,4.7,0.6,NA,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,C,,,
282,2010,6.8,0.775,NA,3,0.102,8,23,0.9965,3.45,0.56,10.7,D,,,
283,2010,7,0.5,NA,2,0.07,3,22,0.9963,3.25,0.63,9.2,D,,,
284,2010,7.6,0.9,NA,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,D,,,
285,2010,8.1,0.545,NA,1.9,0.08,13,35,0.9972,3.3,0.59,9,C,,,
286,2010,8.3,0.61,NA,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,C,,,
287,2010,7.8,0.5,NA,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,C,,,
288,2010,8.1,0.545,NA,1.9,0.08,13,35,0.9972,3.3,0.59,9,C,,,
289,2010,8.1,0.575,NA,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,D,,,
290,2010,7.2,0.49,NA,2.2,0.07,5,36,0.996,3.33,0.48,9.4,D,,,
291,2010,8.1,0.575,NA,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,D,,,
292,2010,7.8,0.41,NA,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,D,,,
293,2010,6.2,0.63,NA,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,D,,,
294,2010,8,0.33,NA,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,C,,,
295,2010,8.1,0.785,NA,2,0.122,37,153,0.9969,3.21,0.69,9.3,D,,,
296,2010,7.8,0.56,NA,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,D,,,
297,2010,8.4,0.62,NA,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,D,,,
298,2010,8.4,0.6,NA,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,D,,,
299,2010,10.1,0.31,NA,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,C,,,
400,2022,7.8,0.56,NA,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,D,,,
401,2022,9.4,0.4,NA,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,C,,,
402,2022,8.3,0.54,NA,1.9,0.077,11,40,0.9978,3.39,0.61,10,C,,,
403,2022,7.8,0.56,NA,2,0.082,7,28,0.997,3.37,0.5,9.4,C,,,
404,2022,8.8,0.55,NA,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,C,,,
405,2022,7,0.69,NA,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,C,,,
406,2022,7.3,1.07,NA,1.7,0.178,10,89,0.9962,3.3,0.57,9,D,,,
407,2022,8.8,0.55,NA,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,C,,,
408,2022,7.3,0.695,NA,2.5,0.075,3,13,0.998,3.49,0.52,9.2,D,,,
409,2022,8,0.71,NA,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,D,,,
410,2022,7.8,0.5,NA,1.6,0.082,21,102,0.996,3.39,0.48,9.5,D,,,
406,2022,7.3,1.07,NA,1.7,0.178,10,89,0.9962,3.3,0.57,9,D,,,
411,2022,9,0.62,NA,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,D,,,
412,2022,8.2,1.33,NA,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,D,,,
413,2022,8.1,1.33,NA,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,D,,,
414,2022,8,0.59,NA,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,B,,,
415,2022,6.1,0.38,NA,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,D,,,
416,2022,8,0.745,NA,2,0.118,200,134,0.9968,3.24,0.66,9.4,D,,,
417,2022,5.6,0.5,NA,2.3,0.049,17,99,0.9937,3.63,0.63,13,D,,,
418,2022,5.6,0.5,NA,2.3,0.049,17,99,0.9937,3.63,0.63,13,D,,,
419,2022,6.6,0.5,NA,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,C,,,
420,2022,7.9,1.04,NA,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,C,,,
421,2022,8.4,0.745,NA,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,D,,,
422,2022,8.3,0.715,NA,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,D,,,
423,2022,7.2,0.415,NA,2,0.081,13,45,0.9972,3.48,0.64,9.2,D,,,
424,2022,7.8,0.56,NA,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,D,,,
425,2022,7.8,0.56,NA,2,0.081,17,108,0.9962,3.32,0.54,9.5,D,,,
426,2022,8.4,0.745,NA,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,D,,,
427,2022,8.3,0.715,NA,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,D,,,
428,2022,5.2,0.34,NA,1.8,0.05,27,63,0.9916,3.68,0.79,14,C,,,
429,2022,6.3,0.39,NA,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,D,,,
430,2022,5.2,0.34,NA,1.8,0.05,27,63,0.9916,3.68,0.79,14,C,,,
431,2022,8.1,0.67,NA,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,D,,,
432,2022,5.8,0.68,NA,1.8,0.087,21,94,0.9944,3.54,0.52,10,D,,,
433,2022,7.6,0.49,NA,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,D,,,
434,2022,6.9,0.49,NA,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,C,,,
435,2022,8.2,0.4,NA,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,C,,,
436,2022,7.3,0.33,NA,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,C,,,
437,2022,9.2,0.52,NA,3.4,0.61,32,69,0.9996,2.74,2,9.4,E,,,
438,2022,7.5,0.6,NA,1.8,0.095,25,99,0.995,3.35,0.54,10.1,D,,,
439,2022,7.5,0.6,NA,1.8,0.095,25,99,0.995,3.35,0.54,10.1,D,,,
440,2022,7.1,0.43,NA,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,D,,,
441,2022,7.1,0.43,NA,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,D,,,
442,2022,7.1,0.43,NA,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,D,,,
443,2022,7.1,0.43,NA,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,D,,,
444,2022,7.1,0.68,NA,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,D,,,
445,2022,6.8,0.6,NA,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,C,,,
446,2022,7.6,0.95,NA,2,0.09,7,20,0.9959,3.2,0.56,9.6,D,,,
447,2022,7.6,0.68,NA,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,E,,,
448,2022,7.8,0.53,NA,1.7,0.076,17,31,0.9964,3.33,0.56,10,C,,,
449,2022,7.4,0.6,NA,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,D,,,
450,2022,7.3,0.59,NA,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,D,,,
451,2022,7.8,0.63,NA,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,D,,,
452,2022,6.8,0.64,NA,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,D,,,
453,2022,7.3,0.55,NA,1.6,0.072,17,42,0.9956,3.37,0.48,9,E,,,
454,2022,6.8,0.63,NA,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,C,,,
455,2022,7.5,0.705,NA,1.8,0.36,15,63,0.9964,3,1.59,9.5,D,,,
456,2022,7.9,0.885,NA,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,E,,,
457,2022,8,0.42,NA,2,0.073,6,18,0.9972,3.29,0.61,9.2,C,,,
458,2022,8,0.42,NA,2,0.073,6,18,0.9972,3.29,0.61,9.2,C,,,
459,2022,7.4,0.62,NA,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,C,,,
460,2022,7.3,0.38,NA,2,0.08,7,35,0.9961,3.33,0.47,9.5,D,,,
461,2022,6.9,0.5,NA,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,D,,,
462,2022,7.3,0.38,NA,2,0.08,7,35,0.9961,3.33,0.47,9.5,D,,,
463,2022,7.5,0.52,NA,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,C,,,
464,2022,7,0.805,NA,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,D,,,
465,2022,8.8,0.61,NA,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,D,,,
466,2022,8.8,0.61,NA,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,D,,,
467,2022,8.9,0.61,NA,2,0.27,23,110,0.9972,3.12,1.02,9.3,D,,,
468,2022,7.2,0.73,NA,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,D,,,
469,2022,6.8,0.61,NA,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,D,,,
470,2022,6.7,0.62,NA,1.9,0.079,8,62,0.997,3.52,0.58,9.3,C,,,
471,2022,8.9,0.31,NA,2,0.111,26,85,0.9971,3.26,0.53,9.7,D,,,
472,2022,7.4,0.39,NA,2,0.082,14,67,0.9972,3.34,0.55,9.2,D,,,
473,2022,7.7,0.705,NA,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,D,,,
474,2022,7.9,0.5,NA,2,0.084,15,143,0.9968,3.2,0.55,9.5,D,,,
475,2022,7.9,0.49,NA,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,D,,,
476,2022,8.2,0.5,NA,2.9,0.077,1000,127,0.9976,3.23,0.62,9.4,D,,,
477,2022,6.4,0.37,NA,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,C,,,
478,2022,6.8,0.63,NA,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,D,,,
479,2022,7.6,0.55,NA,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,D,,,
480,2022,7.6,0.55,NA,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,D,,,
481,2022,7.8,0.59,NA,2,0.074,24,120,0.9968,3.25,0.54,9.4,D,,,
482,2022,7.3,0.58,NA,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,D,,,
483,2022,11.5,0.3,NA,2,0.067,12,27,0.9981,3.11,0.97,10.1,C,,,
484,2022,5.4,0.835,NA,1.2,0.046,13,93,0.9924,3.57,0.85,13,B,,,
485,2022,6.9,1.09,NA,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,E,,,
486,2022,9.6,0.32,NA,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,B,,,
487,2022,8.8,0.37,NA,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,D,,,
488,2022,6.8,0.5,NA,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,D,,,
489,2022,7,0.42,NA,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,D,,,
490,2022,7,0.43,NA,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,C,,,
491,2022,12.8,0.3,NA,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,B,,,
492,2022,12.8,0.3,NA,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,B,,,
493,2022,7.8,0.57,NA,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,D,,,
494,2022,7.8,0.44,NA,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,D,,,
495,2022,11,0.3,NA,2.1,0.054,7,19,0.998,3.31,0.88,10.5,B,,,
496,2022,9.7,0.53,NA,2,0.039,5,19,0.99585,3.3,0.86,12.4,C,,,
497,2022,8,0.725,NA,2.8,0.083,10,62,0.99685,3.35,0.56,10,C,,,
498,2022,11.6,0.44,NA,2.1,0.059,5,15,0.998,3.21,0.67,10.2,C,,,
499,2022,8.2,0.57,NA,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,D,,,
500,2022,7.8,0.735,NA,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,C,,,
501,2022,7,0.49,NA,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,D,,,
502,2022,8.7,0.625,NA,2,0.101,13,49,0.9962,3.14,0.57,11,D,,,
503,2022,8.1,0.725,NA,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,D,,,
504,2022,7.5,0.49,NA,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,D,,,
505,2022,7.8,0.53,NA,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,D,,,
506,2022,7.8,0.34,NA,2,0.082,24,58,0.9964,3.34,0.59,9.4,C,,,
507,2022,7.4,0.53,NA,2,0.101,16,72,0.9957,3.15,0.57,9.4,D,,,
508,2022,6.8,0.61,NA,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,D,,,
509,2022,8.6,0.645,NA,2,0.083,8,28,0.99815,3.28,0.6,10,C,,,
510,2022,8.4,0.635,NA,2,0.089,15,55,0.99745,3.31,0.57,10.4,E,,,
511,2022,7.7,0.43,NA,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,C,,,
512,2022,8.9,0.59,NA,2,0.337,27,81,0.9964,3.04,1.61,9.5,C,,,
513,2022,9,0.82,NA,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,D,,,
514,2022,7.7,0.43,NA,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,C,,,
515,2022,6.9,0.52,NA,2.6,0.081,10,37,0.99685,3.46,0.5,11,D,,,
516,2022,5.2,0.48,NA,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,B,,,
517,2022,8,0.38,NA,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,C,,,
518,2022,8.5,0.37,NA,2.8,0.09,18,58,0.998,3.34,0.7,9.6,C,,,
519,2022,6.9,0.52,NA,2.6,0.081,10,37,0.99685,3.46,0.5,11,D,,,
520,2022,8.2,1,NA,2.3,0.065,7,37,0.99685,3.32,0.55,9,C,,,
521,2022,7.2,0.63,NA,1.9,0.097,14,38,0.99675,3.37,0.58,9,C,,,
522,2022,7.2,0.63,NA,1.9,0.097,14,38,0.99675,3.37,0.58,9,C,,,
523,2022,7.2,0.645,NA,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,C,,,
524,2022,7.2,0.63,NA,1.9,0.097,14,38,0.99675,3.37,0.58,9,C,,,
525,2022,8.2,1,NA,2.3,0.065,7,37,0.99685,3.32,0.55,9,C,,,
526,2022,8.9,0.635,NA,1.7,0.263,5,62,0.9971,3,1.09,9.3,D,,,
527,2022,12,0.38,NA,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,C,,,
528,2022,7.7,0.58,NA,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,C,,,
529,2022,15,0.21,NA,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,B,,,
530,2022,15,0.21,NA,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,B,,,
531,2022,7.3,0.66,NA,2,0.084,6,23,0.9983,3.61,0.96,9.9,C,,,
532,2022,7.1,0.68,NA,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,D,,,
533,2022,8.2,0.6,NA,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,D,,,
534,2022,7.7,0.53,NA,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,C,,,
535,2022,7.3,0.66,NA,2,0.084,6,23,0.9983,3.61,0.96,9.9,C,,,
536,2022,10.8,0.32,NA,1.6,0.063,16,37,0.9985,3.22,0.78,10,C,,,
537,2022,7.1,0.6,NA,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,C,,,
538,2022,11.1,0.35,NA,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,D,,,
539,2022,7.7,0.775,NA,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,D,,,
540,2022,7.1,0.6,NA,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,C,,,
541,2022,8,0.57,NA,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,D,,,
542,2022,9.4,0.34,NA,2.2,0.075,5,13,0.998,3.22,0.62,9.2,D,,,
543,2022,6.6,0.695,NA,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,D,,,
544,2022,7.7,0.41,NA,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,D,,,
545,2022,10,0.31,NA,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,B,,,
546,2022,7.9,0.33,NA,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,D,,,
547,2022,7,0.975,NA,2,0.087,12,67,0.99565,3.35,0.6,9.4,E,,,
548,2022,8,0.52,NA,1.7,0.07,10,35,0.99575,3.34,0.57,10,D,,,
549,2022,7.9,0.37,NA,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,D,,,
550,2022,12.5,0.56,NA,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,D,,,
551,2022,11.8,0.26,NA,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,B,,,
552,2022,8.1,0.87,NA,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,E,,,
553,2022,7.9,0.35,NA,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,A,,,
554,2022,6.9,0.54,NA,3,0.077,7,27,0.9987,3.69,0.91,9.4,C,,,
555,2022,11.5,0.18,NA,4,0.104,4,23,0.9996,3.28,0.97,10.1,C,,,
556,2022,7.9,0.545,NA,4,0.087,27,61,0.9965,3.36,0.67,10.7,C,,,
557,2022,11.5,0.18,NA,4,0.104,4,23,0.9996,3.28,0.97,10.1,C,,,
558,2022,10.9,0.37,NA,4,0.071,17,65,0.99935,3.22,0.78,10.1,D,,,
559,2022,8.4,0.715,NA,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,D,,,
560,2022,7.5,0.65,NA,7,0.088,27,94,0.99915,3.38,0.77,9.4,D,,,
561,2022,7.9,0.545,NA,4,0.087,27,61,0.9965,3.36,0.67,10.7,C,,,
562,2022,6.9,0.54,NA,3,0.077,7,27,0.9987,3.69,0.91,9.4,C,,,
563,2022,11.5,0.18,NA,4,0.104,4,23,0.9996,3.28,0.97,10.1,C,,,
